SID,age,sex,experimenter,location,language,exclude,exclude_reason,trial,problem,num_answer,correct,notes,exclude_trial,exclude_trial_reason,double_coded
022818-EW,4.887063655,M,VM,Gillispie,English,1,Experimentor error in SF,3,21+1,idk,0,,,,KG
022818-EW,4.887063655,M,VM,Gillispie,English,1,Experimentor error in SF,4,64+1,idk,0,,,,KG
022818-EW,4.887063655,M,VM,Gillispie,English,1,Experimentor error in SF,5,57+1,idk,0,,,,KG
022818-EW,4.887063655,M,VM,Gillispie,English,1,Experimentor error in SF,6,86+1,idk,0,,,,KG
022818-EW,4.887063655,M,VM,Gillispie,English,1,Experimentor error in SF,7,32+1,idk,0,,,,KG
022818-EW,4.887063655,M,VM,Gillispie,English,1,Experimentor error in SF,8,93+1,idk,0,,,,KG
022818-EW,4.887063655,M,VM,Gillispie,English,1,Experimentor error in SF,9,20+1,idk,0,,,,KG
022818-HVC,5.119780972,F,VM,Gillispie,English,1,Experimentor error in SF,1,1+1,1,1,,,,KG
022818-HVC,5.119780972,F,VM,Gillispie,English,1,Experimentor error in SF,2,5+1,idk,0,,,,KG
022818-HVC,5.119780972,F,VM,Gillispie,English,1,Experimentor error in SF,3,21+1,idk,0,,,,KG
022818-HVC,5.119780972,F,VM,Gillispie,English,1,Experimentor error in SF,4,64+1,idk,0,,,,KG
022818-HVC,5.119780972,F,VM,Gillispie,English,1,Experimentor error in SF,5,57+1,idk,0,,,,KG
022818-HVC,5.119780972,F,VM,Gillispie,English,1,Experimentor error in SF,6,86+1,"""-||-""",0,"not sure what the answer means, no video to comfirm",,,KG
022818-HVC,5.119780972,F,VM,Gillispie,English,1,Experimentor error in SF,7,32+1,32,1,,,,KG
022818-HVC,5.119780972,F,VM,Gillispie,English,1,Experimentor error in SF,8,93+1,idk,0,,,,KG
022818-HVC,5.119780972,F,VM,Gillispie,English,1,Experimentor error in SF,9,20+1,idk,0,,,,KG
022818-JB,5.609856263,M,KG,Gillispie,English,0,,1,1+1,2,1,,,,SL
022818-JB,5.609856263,M,KG,Gillispie,English,0,,2,5+1,4,0,,,,SL
022818-JB,5.609856263,M,KG,Gillispie,English,0,,3,21+1,25,0,,,,SL
022818-JB,5.609856263,M,KG,Gillispie,English,0,,4,64+1,90,0,,,,SL
022818-JB,5.609856263,M,KG,Gillispie,English,0,,5,57+1,59,0,,,,SL
022818-JB,5.609856263,M,KG,Gillispie,English,0,,6,86+1,89,0,,,,SL
022818-JB,5.609856263,M,KG,Gillispie,English,0,,7,32+1,80,0,,,,SL
022818-JB,5.609856263,M,KG,Gillispie,English,0,,8,93+1,40,0,,,,SL
022818-JB,5.609856263,M,KG,Gillispie,English,0,,9,20+1,28,0,,,,SL
022818-MC,5.034907598,M,VM,Gillispie,English,1,Experimentor error in SF,1,1+1,2,1,,,,KG
022818-MC,5.034907598,M,VM,Gillispie,English,1,Experimentor error in SF,2,5+1,idk,0,,,,KG
022818-MC,5.034907598,M,VM,Gillispie,English,1,Experimentor error in SF,3,21+1,idk,0,,,,KG
022818-MC,5.034907598,M,VM,Gillispie,English,1,Experimentor error in SF,4,64+1,10,0,,,,KG
022818-MC,5.034907598,M,VM,Gillispie,English,1,Experimentor error in SF,5,57+1,58,1,,,,KG
022818-MC,5.034907598,M,VM,Gillispie,English,1,Experimentor error in SF,6,86+1,60,0,,,,KG
022818-MC,5.034907598,M,VM,Gillispie,English,1,Experimentor error in SF,7,32+1,30,0,,,,KG
022818-MC,5.034907598,M,VM,Gillispie,English,1,Experimentor error in SF,8,93+1,90,0,,,,KG
022818-MC,5.034907598,M,VM,Gillispie,English,1,Experimentor error in SF,9,20+1,1,0,,,,KG
022818-MH,4.331279945,F,KG,Gillispie,English,0,,1,1+1,2,1,,,,SL
022818-MH,4.331279945,F,KG,Gillispie,English,0,,2,5+1,4,0,,,,SL
022818-MH,4.331279945,F,KG,Gillispie,English,0,,3,21+1,34,0,,,,SL
022818-MH,4.331279945,F,KG,Gillispie,English,0,,4,64+1,44,0,,,,SL
022818-MH,4.331279945,F,KG,Gillispie,English,0,,5,57+1,56,0,,,,SL
022818-MH,4.331279945,F,KG,Gillispie,English,0,,6,86+1,IDK,0,,,,SL
022818-MH,4.331279945,F,KG,Gillispie,English,0,,7,32+1,3,0,,,,SL
022818-MH,4.331279945,F,KG,Gillispie,English,0,,8,93+1,1,0,,,,SL
022818-MH,4.331279945,F,KG,Gillispie,English,0,,9,20+1,4,0,,,,SL
022818-OT,5.574264203,M,KG,Gillispie,English,0,,1,1+1,2,1,,,,SL
022818-OT,5.574264203,M,KG,Gillispie,English,0,,2,5+1,IDK,0,,,,SL
022818-OT,5.574264203,M,KG,Gillispie,English,0,,3,21+1,IDK,0,,,,SL
022818-OT,5.574264203,M,KG,Gillispie,English,0,,4,64+1,IDK,0,,,,SL
022818-OT,5.574264203,M,KG,Gillispie,English,0,,5,57+1,IDK,0,,,,SL
022818-OT,5.574264203,M,KG,Gillispie,English,0,,6,86+1,IDK,0,,,,SL
022818-OT,5.574264203,M,KG,Gillispie,English,0,,7,32+1,IDK,0,,,,SL
022818-OT,5.574264203,M,KG,Gillispie,English,0,,8,93+1,IDK,0,,,,SL
022818-OT,5.574264203,M,KG,Gillespie,English,0,,9,20+1,IDK,0,,,,SL
022818-TB,4.394250513,M,VM,Gillispie,English,1,not cp knower,1,1+1,2,1,,,,KG
022818-TB,4.394250513,M,VM,Gillispie,English,1,not cp knower,2,5+1,1990,0,,,,KG
022818-TB,4.394250513,M,VM,Gillispie,English,1,not cp knower,3,21+1,"80, 90, 90, 90",0,,,,KG
022818-TB,4.394250513,M,VM,Gillispie,English,1,not cp knower,4,64+1,"90,80",0,,,,KG
