SID,age,sex,experimenter,location,language,exclude,exclude_reason,trial,num_queried,num_answer,correct,notes,exclude_trial,exclude_trial_reason,double_coded
040418-JO,4.156057495,F,KG,Gillispie,English,0,,4,30,IDK,0,,,,SL
040418-JO,4.156057495,F,KG,Gillispie,English,0,,5,62,11,0,,,,SL
040418-JO,4.156057495,F,KG,Gillispie,English,0,,6,83,5,0,,,,SL
040418-JO,4.156057495,F,KG,Gillispie,English,0,,7,95,4,0,,,,SL
040418-JO,4.156057495,F,KG,Gillispie,English,0,,8,71,IDK,0,,,,SL
040418-JO,4.156057495,F,KG,Gillispie,English,0,,9,24,IDK,0,,,,SL
041118-EB,5.284052019,M,KG,Little Lamb,English,0,,1,1,2,1,,,,SL
041118-EB,5.284052019,M,KG,Little Lamb,English,0,,2,7,8,1,,,,SL
041118-EB,5.284052019,M,KG,Little Lamb,English,0,,3,26,27,1,,,,SL
041118-EB,5.284052019,M,KG,Little Lamb,English,0,,4,30,31,1,,,,SL
041118-EB,5.284052019,M,KG,Little Lamb,English,0,,5,62,63,1,,,,SL
041118-EB,5.284052019,M,KG,Little Lamb,English,0,,6,83,84,1,,,,SL
041118-EB,5.284052019,M,KG,Little Lamb,English,0,,7,95,96,1,,,,SL
041118-EB,5.284052019,M,KG,Little Lamb,English,0,,8,71,32,0,,,,SL
041118-EB,5.284052019,M,KG,Little Lamb,English,0,,9,24,45,0,,,,SL
041118-SS,5.486652977,M,KG,Little Lamb,English,0,,1,1,2,1,,,,SL
041118-SS,5.486652977,M,KG,Little Lamb,English,0,,2,7,8,1,,,,SL
041118-SS,5.486652977,M,KG,Little Lamb,English,0,,3,26,27,1,,,,SL
041118-SS,5.486652977,M,KG,Little Lamb,English,0,,4,30,31,1,,,,SL
041118-SS,5.486652977,M,KG,Little Lamb,English,0,,5,62,63,1,,,,SL
041118-SS,5.486652977,M,KG,Little Lamb,English,0,,6,83,84,1,,,,SL
041118-SS,5.486652977,M,KG,Little Lamb,English,0,,7,95,96,1,,,,SL
041118-SS,5.486652977,M,KG,Little Lamb,English,0,,8,71,72,1,,,,SL
041118-SS,5.486652977,M,KG,Little Lamb,English,0,,9,24,24,0,,,,SL
041218-EC,5.533196441,F,KG,FUMCCV,English,0,,1,1,2,1,,,,SL
041218-EC,5.533196441,F,KG,FUMCCV,English,0,,2,7,8,0,,,,SL
041218-EC,5.533196441,F,KG,FUMCCV,English,0,,3,26,8,0,,,,SL
041218-EC,5.533196441,F,KG,FUMCCV,English,0,,4,30,50,0,,,,SL
041218-EC,5.533196441,F,KG,FUMCCV,English,0,,5,62,76,0,,,,SL
041218-EC,5.533196441,F,KG,FUMCCV,English,0,,6,83,90,0,,,,SL
041218-EC,5.533196441,F,KG,FUMCCV,English,0,,7,95,80,0,,,,SL
041218-EC,5.533196441,F,KG,FUMCCV,English,0,,8,71,100,0,,,,SL
041218-EC,5.533196441,F,KG,FUMCCV,English,0,,9,24,18,0,,,,SL
041218-AF,4.531143053,F,KG,FUMCCV,English; some Italian,0,,1,1,2,1,,,,SL
041218-AF,4.531143053,F,KG,FUMCCV,English; some Italian,0,,2,7,8,1,,,,SL
041218-AF,4.531143053,F,KG,FUMCCV,English; some Italian,0,,3,26,27,1,,,,SL
041218-AF,4.531143053,F,KG,FUMCCV,English; some Italian,0,,4,30,31,1,,,,SL
041218-AF,4.531143053,F,KG,FUMCCV,English; some Italian,0,,5,62,63,1,,,,SL
041218-AF,4.531143053,F,KG,FUMCCV,English; some Italian,0,,6,83,84,1,,,,SL
041218-AF,4.531143053,F,KG,FUMCCV,English; some Italian,0,,7,95,96,1,,,,SL
041218-AF,4.531143053,F,KG,FUMCCV,English; some Italian,0,,8,71,72,1,,,,SL
041218-AF,4.531143053,F,KG,FUMCCV,English; some Italian,0,,9,24,25,1,,,,SL
041218-CL,5.01026694,M,KG,FUMCCV,English,0,,1,1,2,1,,,,SL
041218-CL,5.01026694,M,KG,FUMCCV,English,0,,2,7,6,0,,,,SL
041218-CL,5.01026694,M,KG,FUMCCV,English,0,,3,26,29,0,,,,SL
041218-CL,5.01026694,M,KG,FUMCCV,English,0,,4,30,31,1,,,,SL
041218-CL,5.01026694,M,KG,FUMCCV,English,0,,5,62,63,1,,,,SL
041218-CL,5.01026694,M,KG,FUMCCV,English,0,,6,83,84,1,,,,SL
041218-CL,5.01026694,M,KG,FUMCCV,English,0,,7,95,96,1,,,,SL
041218-CL,5.01026694,M,KG,FUMCCV,English,0,,8,71,72,1,,,,SL
041218-CL,5.01026694,M,KG,FUMCCV,English,0,,9,24,29,0,,,,SL
041318-RB,5.505817933,M,SL,Ridge City,English,1,"speech impediment, can't distinguish numbers in count list",1,1,2,0,,,,RMS
041318-RB,5.505817933,M,SL,Ridge City,English,1,"speech impediment, can't distinguish numbers in count list",2,7,2,0,,,,RMS
041318-RB,5.505817933,M,SL,Ridge City,English,1,"speech impediment, can't distinguish numbers in count list",3,26,IDK,0,,,,RMS
041318-RB,5.505817933,M,SL,Ridge City,English,1,"speech impediment, can't distinguish numbers in count list",4,30,31,1,,,,RMS
041318-RB,5.505817933,M,SL,Ridge City,English,1,"speech impediment, can't distinguish numbers in count list",5,62,62,0,,,,RMS
041318-RB,5.505817933,M,SL,Ridge City,English,1,"speech impediment, can't distinguish numbers in count list",6,83,84,1,,,,RMS
041318-RB,5.505817933,M,SL,Ridge City,English,1,"speech impediment, can't distinguish numbers in count list",7,95,95,0,,,,RMS
041318-RB,5.505817933,M,SL,Ridge City,English,1,"speech impediment, can't distinguish numbers in count list",8,71,79,0,,,,RMS
041318-RB,5.505817933,M,SL,Ridge City,English,1,"speech impediment, can't distinguish numbers in count list",9,24,24,0,,,,RMS
041318-AJ,4.47638604,M,SL,Ridge City,English,1,experimenter did not provide max number of prompts in HC,1,1,2,1,,,,RMS
041318-AJ,4.47638604,M,SL,Ridge City,English,1,experimenter did not provide max number of prompts in HC,2,7,8,1,,,,RMS
041318-AJ,4.47638604,M,SL,Ridge City,English,1,experimenter did not provide max number of prompts in HC,3,26,90,0,,,,RMS
041318-AJ,4.47638604,M,SL,Ridge City,English,1,experimenter did not provide max number of prompts in HC,4,30,31,1,,,,RMS
041318-AJ,4.47638604,M,SL,Ridge City,English,1,experimenter did not provide max number of prompts in HC,5,62,63,1,,,,RMS
041318-AJ,4.47638604,M,SL,Ridge City,English,1,experimenter did not provide max number of prompts in HC,6,83,67,0,,,,RMS
041318-AJ,4.47638604,M,SL,Ridge City,English,1,experimenter did not provide max number of prompts in HC,7,95,70,0,,,,RMS
041318-AJ,4.47638604,M,SL,Ridge City,English,1,experimenter did not provide max number of prompts in HC,8,71,70,0,,,,RMS
041318-AJ,4.47638604,M,SL,Ridge City,English,1,experimenter did not provide max number of prompts in HC,9,24,25,1,,,,RMS
041818-AM,4.27104723,F,KG,Seaside,English,0,,1,1,2,1,,,,RMS
041818-AM,4.27104723,F,KG,Seaside,English,0,,2,7,8,1,,,,RMS
041818-AM,4.27104723,F,KG,Seaside,English,0,,3,26,27,1,,,,RMS
041818-AM,4.27104723,F,KG,Seaside,English,0,,4,30,31,1,,,,RMS
041818-AM,4.27104723,F,KG,Seaside,English,0,,5,62,63,1,,,,RMS
041818-AM,4.27104723,F,KG,Seaside,English,0,,6,83,84,1,,,,RMS
041818-AM,4.27104723,F,KG,Seaside,English,0,,7,95,96,1,,,,RMS
041818-AM,4.27104723,F,KG,Seaside,English,0,,8,71,72,1,,,,RMS
